Album,Release Date,Release Year,Release Month,Release Month (Name),Release Day,Release Day (Name),Album ID,Number of Album Songs,Song Name, Plays ,Artist,Song ID,Track Duration,Track Duration (Minutes),Track Duration (Seconds),Track Number,Number of Artists,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Artist 1,Artist 2,Artist 3
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Rich Flex," 463,655,324 ","Drake,21 Savage",1bDbXMyjaUIooNwFE9wn0N,3:59,3,59,1,2,0.561,0.52,11,-9.342,0.244,0.0503,0.00,0.355,0.424,153.15,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Major Distribution," 134,609,385 ","Drake,21 Savage",46s57QULU02Voy0Kup6UEb,2:50,2,50,2,2,0.908,0.546,8,-10.491,0.323,0.0127,0,0.0707,0.225,131.016,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,On BS," 137,344,442 ","Drake,21 Savage",34tz0eDhGuFErIuW3q4mPX,4:21,4,21,3,2,0.841,0.358,9,-8.368,0.591,0.0201,0,0.39,0.329,158.014,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,BackOutsideBoyz," 80,148,026 ",Drake,0wshkEEcJUQU33RSRBb5dv,2:32,2,32,4,1,0.849,0.433,5,-8.434,0.316,0.0407,0,0.388,0.395,142.11,Drake,N/A,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Privileged Rappers," 92,548,320 ","Drake,21 Savage",7l2nxyx7IkBX5orhkALg0V,2:40,2,40,5,2,0.934,0.614,5,-7.384,0.198,0.00274,0,0.123,0.616,144.045,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Spin Bout U," 138,636,896 ","Drake,21 Savage",2ZL7WZcjuYKi1KUDtp4kCC,3:34,3,34,6,2,0.773,0.701,7,-6.386,0.0512,0.01,0,0.163,0.203,129.963,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Hours In Silence," 70,293,470 ","Drake,21 Savage",0sSRLXxknVTQDStgU1NqpY,6:39,6,39,7,2,0.501,0.403,6,-11.106,0.119,0.234,0,0.267,0.111,118.352,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Treacherous Twins," 53,310,628 ","Drake,21 Savage",4Flfb4fGscN9kXPOduQLrv,3:00,3,0,8,2,0.746,0.517,10,-7.582,0.327,0.0782,0,0.137,0.609,88.987,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Circo Loco," 117,259,009 ","Drake,21 Savage",7GeTsDIc5ykNB6lORO6Cee,3:56,3,56,9,2,0.734,0.605,1,-8.476,0.0699,0.0102,0,0.317,0.252,103.976,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Pussy & Millions (feat. Travis Scott)," 160,380,898 ","Drake,21 Savage,Travis Scott",2KLwPaRDOB87XOYAT2fgxh,4:02,4,2,10,3,0.749,0.63,4,-6.652,0.116,0.0623,0,0.353,0.445,122.03,Drake,21 Savage,Travis Scott
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Broke Boys," 89,443,026 ","Drake,21 Savage",45pUWUeEWGoSdH6UF162G8,3:45,3,45,11,2,0.642,0.533,2,-7.45,0.266,0.0104,0.000108,0.251,0.112,120.041,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Middle of the Ocean," 50,230,363 ",Drake,410TZrK18uRjtsTunG14cl,5:56,5,56,12,1,0.466,0.703,4,-5.774,0.393,0.18,0,0.422,0.25,76.815,Drake,N/A,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,Jumbotron Shit Poppin," 63,497,544 ",Drake,2ZlABhxMMa43COmZ97kKsJ,2:17,2,17,13,1,0.799,0.575,6,-6.257,0.282,0.221,0,0.196,0.319,99.026,Drake,N/A,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,More M's," 57,308,394 ","Drake,21 Savage",29YW2xXlo6Pc6M0SBTCXYN,3:41,3,41,14,2,0.704,0.504,1,-6.749,0.223,0.0405,0.000422,0.139,0.0713,82.537,Drake,21 Savage,N/A
Her Loss,11/4/22,2022,11,November,4,Friday,5MS3MvWHJ3lOZPLiMxzOU6,16,3AM on Glenwood," 30,366,030 ",21 Savage,1MTXYvJ9TSqg9x6WPCDx2n,2:58,2,58,15,1,0.475,0.692,1,-8.327,0.398,0.0533,0.00,0.18,0.241,181.167,21 Savage,N/A,N/A
